Rep,Sean,Duffy,R,RepSeanDuffy
Rep,Scott,DesJarlais,R,tndesjarlais
Sen,John,Ensign,R,SenEnsign
Rep,Anna,Eshoo,D,RepAnnaEshoo
Rep,Keith,Ellison,D,keithellison
Rep,Donna,Edwards,D,repdonnaedwards
Rep,Renee,Ellmers,R,RepReneeEllmers
Rep,Sam,Farr,D,RepSamFarr
Rep,Chaka,Fattah,D,chakafattah
Sen,Russell,Feingold,D,russfeingold
Rep,Bob,Filner,D,CongBobFilner
Rep,Rodney,Frelinghuysen,R,RodneyforNJ
Rep,Jeff,Flake,R,JeffFlake
Rep,James,Forbes,R,Randy_Forbes
Rep,Trent,Franks,R,RepTrentFranks
Rep,Jeff,Fortenberry,R,JeffFortenberry
Rep,Virginia,Foxx,R,virginiafoxx
Rep,Michael,Fitzpatrick,R,RepFitzpatrick
Rep,Mary,Fallin,R,RepMaryFallin
Rep,Marcia,Fudge,D,marciafudge
Rep,John,Fleming,R,RepFleming
Rep,Stephen,Fincher,R,RepFincherTN08
Rep,Chuck,Fleischmann,R,RepChuck
Rep,Bill,Flores,R,RepFlores
Rep,Elton,Gallegly,R,eltongallegly24
Rep,Robert,Goodlatte,R,RepGoodlatte
Sen,Lindsey,Graham,R,GrahamBlog
Rep,Kay,Granger,R,RepKayGranger
Sen,Charles,Grassley,R,ChuckGrassley
Rep,Raymond,Green,D,RepGeneGreen
Rep,Luis,Gutierrez,D,repgutierrez
Rep,Jim,Gerlach,R,JimGerlach
Rep,Phil,Gingrey,R,RepPhilGingrey
Rep,Raul,Grijalva,D,repraulgrijalva
Rep,Louis,Gohmert,R,replouiegohmert
Rep,Al,Green,D,RepAlGreen
Rep,Gabrielle,Giffords,D,Rep_Giffords
Sen,Kirsten,Gillibrand,D,SenGillibrand
Rep,Alan,Grayson,D,alangrayson
Rep,Parker,Griffith,R,rep_p_griffith
Rep,John,Garamendi,D,garamendica10
Rep,John,Graves,R,reptomgraves
Rep,Cory,Gardner,R,RepCory
Rep,Bob,Gibbs,R,Bob_gibbs
Rep,Christopher,Gibson,R,RepChrisGibson
Rep,Paul,Gosar,R,RepGosar
Rep,Tim,Griffin,R,RepTimGriffin
Rep,Morgan,Griffith,R,RepMGriffith
Rep,Frank,Guinta,R,frankguinta
Sen,Thomas,Harkin,D,SenatorHarkin
Rep,Jane,Harman,D,RepJaneHarman
Sen,Orrin,Hatch,R,OrrinHatch
Rep,Maurice,Hinchey,D,mauricehinchey
Rep,Ruben,Hinojosa,D,USRepRHinojosa
Rep,Peter,Hoekstra,R,petehoekstra
Rep,Tim,Holden,D,RepTimHolden
Rep,Steny,Hoyer,D,leaderhoyer
Sen,Kay,Hutchison,R,kaybaileyhutch
Rep,Rush,Holt,D,rushholt
Rep,Michael,Honda,D,RepMikeHonda
Rep,Jeb,Hensarling,R,RepHensarling
Rep,Brian,Higgins,D,RepBrianHiggins
Sen,Dean,Heller,R,DeanHeller
Rep,Mazie,Hirono,D,maziehirono
Rep,Paul,Hodes,D,PaulHodes
Rep,Gregg,Harper,R,GreggHarper
Rep,Jim,Himes,D,jahimes
Sen,Kay,Hagan,D,SenatorHagan
Rep,Colleen,Hanabusa,D,colleenhanabusa
Rep,Richard,Hanna,R,RepRichardHanna
Rep,Vicky,Hartzler,R,RepHartzler
Rep,Nan,Hayworth,R,RepNanHayworth
Rep,Joe,Heck,R,heck4nevada
Rep,Jaime,Herrera,R,herrerabeutler
Rep,Tim,Huelskamp,R,conghuelskamp
Rep,Bill,Huizenga,R,rephuizenga
Rep,Randy,Hultgren,R,randyhultgren
Rep,Robert,Hurt,R,RepRobertHurt
Rep,Janice,Hahn,D,Rep_JaniceHahn
Rep,Robert,Inglis,R,bobinglis
Sen,James,Inhofe,R,jiminhofe
Sen,Daniel,Inouye,D,daniel_inouye
Rep,Darrell,Issa,R,DarrellIssa
Rep,Steve,Israel,D,RepSteveIsrael
Rep,Sheila,Jackson Lee,D,JacksonLeeTX18
Rep,Eddie,Johnson,D,RepEBJ
Sen,Tim,Johnson,D,SenJohnsonSD
Rep,Walter,Jones,R,RepWalterJones
Rep,Timothy,Johnson,R,RepTimJohnson
Rep,Henry,Johnson,D,RepHankJohnson
Rep,James,Jordan,R,Jim_Jordan
Rep,Lynn,Jenkins,R,RepLynnJenkins
Sen,Mike,Johanns,R,Mike_Johanns
Rep,Bill,Johnson,R,repbilljohnson
Sen,Ron,Johnson,R,SenRonJohnson
Rep,Paul,Kanjorski,D,PaulKanjorski
Sen,John,Kerry,D,JohnKerry
Rep,Carolyn,Kilpatrick,D,RepKilpatrick
Rep,Ronald,Kind,D,repronkind
Rep,Peter,King,R,RepPeteKing
Rep,Jack,Kingston,R,JackKingston
Rep,Dennis,Kucinich,D,Dennis_Kucinich
Sen,Jon,Kyl,R,senjonkyl
Sen,Mark,Kirk,R,markkirk
Rep,Steve,King,R,SteveKingPress
Rep,John,Kline,R,repjohnkline
Rep,John,Kuhl,R,RandyKuhl
Rep,Ron,Klein,D,RepRonKlein
Rep,Mary Jo,Kilroy,D,RepMaryJoKilroy
Rep,Bill,Keating,D,USRep_Keating
Rep,Adam,Kinzinger,R,RepKinzinger
Rep,Thomas,Latham,R,TomLatham
Sen,Frank,Lautenberg,D,franklautenberg
Sen,Patrick,Leahy,D,SenatorLeahy
Rep,Sander,Levin,D,repsandylevin
Rep,Jerry,Lewis,R,RepJerryLewis
Rep,John,Lewis,D,RepJohnLewis
Sen,Joseph,Lieberman,I,JoeLieberman
Rep,Nita,Lowey,D,NitaLowey
Sen,Richard,Lugar,R,senatorlugar
Rep,Steven,LaTourette,R,LaTourette14
Rep,Frank,LoBiondo,R,RepLoBiondo
Rep,John,Larson,D,repjohnlarson
Rep,James,Langevin,D,jimlangevin
Rep,Rick,Larsen,D,larsenrick
Rep,Robert,Latta,R,boblatta
Rep,Christopher,Lee,R,chrislee_ny26
Rep,Ben,Lujan,D,repbenraylujan
Rep,Cynthia,Lummis,R,CynthiaLummis
Sen,George,LeMieux,R,George_LeMieux
Rep,Raul,Labrador,R,Raul_Labrador
Rep,Jeff,Landry,R,repjefflandry
Rep,James,Lankford,R,replankford
Rep,Billy,Long,R,BillyLongMO7
Rep,Carolyn,Maloney,D,carolynbmaloney
Rep,Edward,Markey,D,markeymemo
Sen,John,McCain,R,SenJohnMcCain
Rep,Carolyn,McCarthy,D,RepMcCarthyNY
Rep,James,McGovern,D,RepMcGovern
Rep,James,McDermott,D,RepJimMcDermott
Rep,Mike,McIntyre,D,repmikemcintyre
Rep,Howard,McKeon,R,BuckMcKeon
Sen,Robert,Menendez,D,SenatorMenendez
Sen,Barbara,Mikulski,D,senatorbarb
Rep,George,Miller,D,askgeorge
Rep,James,Moran,D,Jim_Moran
Sen,Jerry,Moran,R,JerryMoran
Rep,Sue,Myrick,R,SueMyrick
Rep,Gregory,Meeks,D,GregoryMeeks
Rep,Donald,Manzullo,R,donmanzullo
Rep,Gary,Miller,R,repgarymiller
Rep,Jim,Matheson,D,RepJimMatheson
Rep,Jeff,Miller,R,CongJeffMiller
Rep,Thaddeus,McCotter,R,ThadMcCotter
Rep,Kendrick,Meek,D,kendrickbmeek
Rep,Michael,Michaud,D,RepMikeMichaud
Rep,Candice,Miller,R,CandiceMiller
Rep,Tim,Murphy,R,RepTimMurphy
Sen,Lisa,Murkowski,R,lisamurkowski
Rep,Connie,Mack,R,RepConnieMack
Rep,Patrick,McHenry,R,PatrickMcHenry
Rep,Michael,McCaul,R,McCaulPressShop
Rep,Kenny,Marchant,R,RepKenMarchant
Rep,Cathy,McMorris-Rodgers,R,cathymcmorris
Rep,Gwendolynne,Moore,D,RepGwenMoore
Sen,Melquiades,Martinez,R,melmartinez
Rep,Doris,Matsui,D,DorisMatsui
Rep,Kevin,McCarthy,R,GOPWhip
Rep,Gerald,McNerney,D,jerrymcnerney
Rep,Harry,Mitchell,D,HarryEMitchell
Sen,Claire,McCaskill,D,clairecmc
Rep,Daniel,Maffei,D,RepDanMaffei
Rep,Eric,Massa,D,EricMassa
Rep,Michael,McMahon,D,RepMikeMcMahon
Rep,Walter,Minnick,D,WaltMinnick
Sen,Jeffery,Merkley,D,SenJeffMerkley
Rep,Tom,McClintock,R,RepMcClintock
Rep,Thomas,Marino,R,RepTomMarino
Rep,David,McKinley,R,RepMcKinley
Rep,Patrick,Meehan,R,patmeehanpa
Rep,John ,Mulvaney,R,mickmulvaney
Sen,Joe,Manchin,D,Sen_JoeManchin
Sen,Bill,Nelson,D,SenBillNelson
Del,Eleanor,Norton,D,EleanorNorton
Rep,Grace,Napolitano,D,gracenapolitano
Sen,E. Benjamin,Nelson,D,SenBenNelson
Rep,Devin,Nunes,R,devinnunes
Rep,Randy,Neugebauer,R,RandyNeugebauer
Rep,Glenn,Nye,D,GlennNye
Rep,Kristi,Noem,R,repkristinoem
Rep,Richard,Nugent,R,RepRichNugent
Rep,Patrick,Nunnelee,R,AlanNunnelee
Rep,James,Oberstar,D,JimOberstar
Sen,Barack,Obama,D,BarackObama
Rep,Pete,Olson,R,OlsonPressShop
Rep,Bill,Owens,D,BillOwensNY
Rep,Frank,Pallone,D,FrankPallone
Rep,Nancy,Pelosi,D,NancyPelosi
Rep,Joseph,Pitts,R,RepJoePitts
Sen,Rob,Portman,R,robportman
Rep,Ronald,Paul,R,RepRonPaul
Rep,Mike,Pence,R,RepMikePence
Rep,Stevan,Pearce,R,RepStevePearce
Rep,Thomas,Price,R,RepTomPrice
Rep,Ted,Poe,R,JudgeTedPoe
Rep,Ed,Perlmutter,D,RepPerlmutter
Rep,Erik,Paulsen,R,Erik_Paulsen
Rep,Gary,Peters,D,RepGaryPeters
Com,Pedro,Pierluisi,D,pedropierluisi
Rep,Chellie,Pingree,D,chelliepingree
Rep,Jared,Polis,D,jaredpolis
Rep,Bill,Posey,R,congbillposey
Rep,Tom,Perriello,D,tomperriello
Rep,Steven,Palazzo,R,StevenPalazzo
Rep,Michael,Pompeo,R,mikepompeo
